"ACAD_CAREER","ZIP_CODE","HEADCOUNT"
"UGRD","53215",1
"UGRD","53217",1
"UGRD","53221",1
"UGRD","53511",1
"UGRD","53705",1
"UGRD","53719",1
"UGRD","54050",1
"UGRD","54208",1
"UGRD","54913",1
"UGRD","54935",1
"UGRD","55014",1
"UGRD","55044",1
"UGRD","55057",1
"UGRD","55316",1
"UGRD","55317",1
"UGRD","55331",1
"UGRD","55346",1
"UGRD","55369",2
"UGRD","55386",1
"UGRD","55387",1
"UGRD","55391",1
"UGRD","55410",1
"UGRD","55435",1
"UGRD","55906",1
"UGRD","56057",1
"UGRD","56288",1
"UGRD","56303",1
"UGRD","56501",1
"UGRD","57104",1
"UGRD","57601",1
"UGRD","57702",2
"UGRD","57703",1
"UGRD","57747",1
"UGRD","58104",2
"UGRD","58201",1
"UGRD","58554",1
"UGRD","59602",1
"UGRD","59740",1
"UGRD","59864",1
"UGRD","59901",3
"UGRD","60010",1
"UGRD","60012",1
"UGRD","60013",2
"UGRD","60014",2
"UGRD","60015",1
"UGRD","60031",1
"UGRD","60035",1
"UGRD","60046",1
"UGRD","60061",1
"UGRD","60062",1
